Punto Inicial,Punto Final,Distancia (m)
"(np.float64(434166.7265237662), np.float64(4812395.047305759))","(np.float64(434167.71138268174), np.float64(4812396.481573669))",1.7398481318143928
"(np.float64(434167.71138268174), np.float64(4812396.481573669))","(np.float64(434173.55000136665), np.float64(4812397.868419566))",6.00106737919716
"(np.float64(434173.55000136665), np.float64(4812397.868419566))","(np.float64(434175.41711935296), np.float64(4812398.516589494))",1.9764245067005033
"(np.float64(434175.41711935296), np.float64(4812398.516589494))","(np.float64(434177.28532192716), np.float64(4812399.275817853))",2.0165833876457153
"(np.float64(434177.28532192716), np.float64(4812399.275817853))","(np.float64(434181.1037066487), np.float64(4812400.90454378))",4.151241985825872
"(np.float64(434181.1037066487), np.float64(4812400.90454378))","(np.float64(434182.24601403973), np.float64(4812401.893001622))",1.5106009005161065
"(np.float64(434182.24601403973), np.float64(4812401.893001622))","(np.float64(434188.6530659118), np.float64(4812403.496444734))",6.604645600283015
"(np.float64(434188.6530659118), np.float64(4812403.496444734))","(np.float64(434191.0864522944), np.float64(4812404.139087885))",2.516815350066921
"(np.float64(434191.0864522944), np.float64(4812404.139087885))","(np.float64(434193.6007341139), np.float64(4812404.7809418095))",2.594916092821448
"(np.float64(434193.6007341139), np.float64(4812404.7809418095))","(np.float64(434200.00778033666), np.float64(4812406.3843956655))",6.6046427283303535
"(np.float64(434200.00778033666), np.float64(4812406.3843956655))","(np.float64(434202.5231449491), np.float64(4812407.13731082))",2.6256314217765144
"(np.float64(434202.5231449491), np.float64(4812407.13731082))","(np.float64(434205.11832036125), np.float64(4812407.778379027))",2.67318234804525
"(np.float64(434205.11832036125), np.float64(4812407.778379027))","(np.float64(434209.59361999715), np.float64(4812410.400322573))",5.186800053204616
"(np.float64(434209.59361999715), np.float64(4812410.400322573))","(np.float64(434211.2245497596), np.float64(4812411.717219594))",2.096222710752309
"(np.float64(434211.2245497596), np.float64(4812411.717219594))","(np.float64(434217.05230255955), np.float64(4812411.993523816))",5.834299162742327
"(np.float64(434217.05230255955), np.float64(4812411.993523816))","(np.float64(434218.9150751446), np.float64(4812412.197474055))",1.8739043208787003
"(np.float64(434218.9150751446), np.float64(4812412.197474055))","(np.float64(434220.8587434288), np.float64(4812412.400635034))",1.9542570921420892
"(np.float64(434220.8587434288), np.float64(4812412.400635034))","(np.float64(434225.9660218146), np.float64(4812413.461460373))",5.216286314173315
"(np.float64(434225.9660218146), np.float64(4812413.461460373))","(np.float64(434228.06822872243), np.float64(4812413.32987025))",2.1063214008838336
"(np.float64(434228.06822872243), np.float64(4812413.32987025))","(np.float64(434234.4600817446), np.float64(4812413.378545882))",6.392038358302393
"(np.float64(434234.4600817446), np.float64(4812413.378545882))","(np.float64(434236.9732717017), np.float64(4812413.909358))",2.568634903103035
"(np.float64(434236.9732717017), np.float64(4812413.909358))","(np.float64(434239.48537730897), np.float64(4812414.329113135))",2.5469332451255213
"(np.float64(434239.48537730897), np.float64(4812414.329113135))","(np.float64(434244.2788226018), np.float64(4812416.392631772))",5.218738060082591
"(np.float64(434244.2788226018), np.float64(4812416.392631772))","(np.float64(434246.0628648832), np.float64(4812416.819494826))",1.834398792167318
"(np.float64(434246.0628648832), np.float64(4812416.819494826))","(np.float64(434251.49696980696), np.float64(4812418.210355314))",5.609277067598005
"(np.float64(434251.49696980696), np.float64(4812418.210355314))","(np.float64(434253.930344458), np.float64(4812418.8530210545))",2.516809775425183
"(np.float64(434253.930344458), np.float64(4812418.8530210545))","(np.float64(434256.28282289614), np.float64(4812419.496477015))",2.4388912184729046
"(np.float64(434256.28282289614), np.float64(4812419.496477015))","(np.float64(434261.2445520647), np.float64(4812422.22477645))",5.6623647131875225
"(np.float64(434261.2445520647), np.float64(4812422.22477645))","(np.float64(434263.6768407358), np.float64(4812422.756387766))",2.489706563370022
"(np.float64(434263.6768407358), np.float64(4812422.756387766))","(np.float64(434266.02823332057), np.float64(4812423.288789192))",2.4109123513688435
"(np.float64(434266.02823332057), np.float64(4812423.288789192))","(np.float64(434271.20772403356), np.float64(4812423.460396103))",5.182332773732834
"(np.float64(434271.20772403356), np.float64(4812423.460396103))","(np.float64(434272.91195031535), np.float64(4812423.9991133185))",1.7873453662381067
